Trait,Sex,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Trait guild,Trait description,Reference
adenine.high.yeast,Female,0.22,0.55,0.77,0.29,0.16,0.32,0.17,0.27,Metabolome,Mean relative adenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
adenine.low.yeast,Female,0,1.07,1.07,0,0.21,0.43,0.24,0.2,Metabolome,Mean relative adenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
adenosine.high.yeast,Female,0.19,0.61,0.8,0.24,0.14,0.28,0.16,0.21,Metabolome,Mean relative adenosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
adenosine.low.yeast,Female,0.24,0.51,0.75,0.32,0.15,0.29,0.16,0.26,Metabolome,Mean relative adenosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
ADP.high.yeast,Female,0.31,0.39,0.7,0.44,0.17,0.32,0.17,0.34,Metabolome,Mean relative ADP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
ADP.low.yeast,Female,0.21,0.56,0.78,0.27,0.14,0.27,0.15,0.22,Metabolome,Mean relative ADP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
aggression.2015,Male,0,1.01,1.01,0,0.14,0.3,0.17,0.14,Behavioural,Mean number of aggressive encounters between 8 males in an interaction vial over a two minute duration. Higher values indicate more aggressive males.,Shorter et al (2015) PNAS
agmatine.high.yeast,Female,0.06,0.88,0.94,0.06,0.14,0.28,0.17,0.15,Metabolome,Mean relative agmatine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
agmatine.low.yeast,Female,0.28,0.44,0.72,0.39,0.17,0.31,0.16,0.31,Metabolome,Mean relative agmatine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Agrobacterium.tumefaciens,Female,0.09,0.81,0.9,0.1,0.09,0.19,0.12,0.11,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Agrobacterium.tumefaciens,Male,0.51,0.01,0.52,0.97,0.11,0.16,0.08,0.31,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
alanine.high.yeast,Female,0.17,0.67,0.83,0.2,0.17,0.34,0.18,0.24,Metabolome,Mean relative alanine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
alanine.low.yeast,Female,0.29,0.42,0.71,0.41,0.17,0.31,0.16,0.32,Metabolome,Mean relative alanine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
allantoin.high.yeast,Female,0,1.26,1.26,0,0.26,0.53,0.29,0.21,Metabolome,Mean relative allantoin concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
allantoin.low.yeast,Female,0,1.01,1.01,0,0.17,0.35,0.2,0.16,Metabolome,Mean relative allantoin concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
NA,Pooled,0.07,0.81,0.88,0.08,0.14,0.3,0.17,0.18,Pathogen response,"Mean number of flies exposed to alpha-amanitin, at concentration 0.2 ug/g, surviving to adulthood per vial. Alpha-amanitin is the principal toxin of several deadly poisonous mushroom species, and is only found in mushrooms. Higher values indicate a greater resistance to alpha-amanitin. Note that resistance is confounded with survival in this study.",Mitchell et al (2017) PLOS One
NA,Pooled,0.38,0.28,0.66,0.57,0.18,0.33,0.17,0.4,Pathogen response,"Mean number of flies exposed to alpha-amanitin, at concentration 2 ug/g, surviving to adulthood per vial. Alpha-amanitin is the principal toxin of several deadly poisonous mushroom species, and is only found in mushrooms. Higher values indicate a greater resistance to alpha-amanitin. Note that resistance is confounded with survival in this study.",Mitchell et al (2017) PLOS One
alpha-Ketoglutaric.acid.high.yeast,Female,0.04,0.91,0.96,0.04,0.18,0.37,0.2,0.2,Metabolome,Mean relative Alpha-Ketoglutaric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
alpha-Ketoglutaric.acid.low.yeast,Female,0.16,0.68,0.84,0.19,0.17,0.33,0.18,0.23,Metabolome,Mean relative Alpha-Ketoglutaric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
aminoisobutyrate.high.yeast,Female,0,1.02,1.02,0,0.15,0.31,0.18,0.14,Metabolome,Mean relative aminoisobutyrate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
aminoisobutyrate.low.yeast,Female,0,1.09,1.09,0,0.22,0.45,0.24,0.2,Metabolome,Mean relative aminoisobutyrate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
AMP.high.yeast,Female,0,1.27,1.27,0,0.2,0.4,0.23,0.16,Metabolome,Mean relative AMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
AMP.low.yeast,Female,0.08,0.83,0.92,0.09,0.15,0.3,0.17,0.17,Metabolome,Mean relative AMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
anoxia.tolerance.adult,Female,0.06,0.88,0.94,0.06,0.18,0.36,0.2,0.2,Stress response,"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",Campwell et al (2019) G3
anoxia.tolerance.adult,Male,0,1.01,1.01,0,0.17,0.35,0.2,0.17,Stress response,"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",Campwell et al (2019) G3
NA,Pooled,0.05,0.9,0.95,0.05,0.15,0.31,0.18,0.17,Stress response,"Mean survival (larvae that pupated) for late third instar larvae, 24 hours after exposure to one hour of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",Campwell et al (2019) G3
anthranilate.high.yeast,Female,0.13,0.73,0.87,0.15,0.17,0.34,0.19,0.23,Metabolome,Mean relative anthranilate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
anthranilate.low.yeast,Female,0.32,0.35,0.67,0.48,0.13,0.25,0.13,0.27,Metabolome,Mean relative anthranilate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
approach.female,Male,0.49,0.03,0.52,0.94,0.12,0.2,0.11,0.38,Behavioural,"Mean number of times a DGRP male approached a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of approaches, and potentially more persistent courtship.",Gaertner et al (2015) G3
arachidonate.high.yeast,Female,0.06,0.88,0.94,0.06,0.15,0.32,0.18,0.17,Metabolome,Mean relative arachidonate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
arachidonate.low.yeast,Female,0,1.25,1.25,0,0.25,0.5,0.27,0.2,Metabolome,Mean relative arachidonate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
arginine.high.yeast,Female,0.19,0.63,0.82,0.23,0.19,0.37,0.2,0.28,Metabolome,Mean relative arginine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
arginine.low.yeast,Female,0,1.06,1.06,0,0.2,0.42,0.23,0.19,Metabolome,Mean relative arginine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Asaia.prunellae,Female,0.43,0.16,0.59,0.73,0.15,0.25,0.12,0.37,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Asaia.prunellae,Male,0.23,0.56,0.78,0.29,0.18,0.34,0.18,0.28,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Asaia.sp.,Female,0.13,0.74,0.87,0.15,0.15,0.29,0.16,0.19,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Asaia.sp.,Male,0.17,0.67,0.84,0.2,0.18,0.36,0.19,0.26,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
asparagine.high.yeast,Female,0.24,0.53,0.76,0.31,0.16,0.31,0.17,0.27,Metabolome,Mean relative asparagine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
asparagine.low.yeast,Female,0.22,0.56,0.77,0.28,0.14,0.28,0.15,0.23,Metabolome,Mean relative asparagine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
