Reference,Trait,# lines measured,Sex,Trait description,Authors,Title,Year,FullTextURL,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Notes
"Brown et al (2013) Genes, Brain and Behaviour",2.3-butanedione.olfactory.latency.30.percentile.m,157,Male,"Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.",Brown et al,Genome-wide association mapping of natural variation in odour-guided behaviour in Drosophila,2013,https://doi.org/10.1111/gbb.12048,04-Oct,6 per line and sex,NA,NA,25,NA
"Brown et al (2013) Genes, Brain and Behaviour",2.3-butanedione.olfactory.latency.90.percentile.f,157,Female,"Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.",Brown et al,Genome-wide association mapping of natural variation in odour-guided behaviour in Drosophila,2013,https://doi.org/10.1111/gbb.12048,04-Oct,6 per line and sex,NA,NA,25,NA
"Brown et al (2013) Genes, Brain and Behaviour",2.3-butanedione.olfactory.latency.90.percentile.m,157,Male,"Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.",Brown et al,Genome-wide association mapping of natural variation in odour-guided behaviour in Drosophila,2013,https://doi.org/10.1111/gbb.12048,04-Oct,6 per line and sex,NA,NA,25,NA
"Brown et al (2013) Genes, Brain and Behaviour",2.3-butanedione.olfactory.response.intensity.f,157,Female,"Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.",Brown et al,Genome-wide association mapping of natural variation in odour-guided behaviour in Drosophila,2013,https://doi.org/10.1111/gbb.12048,04-Oct,6 per line and sex,NA,NA,25,NA
"Brown et al (2013) Genes, Brain and Behaviour",2.3-butanedione.olfactory.response.intensity.m,157,Male,"Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.",Brown et al,Genome-wide association mapping of natural variation in odour-guided behaviour in Drosophila,2013,https://doi.org/10.1111/gbb.12048,04-Oct,6 per line and sex,NA,NA,25,NA
"Brown et al (2013) Genes, Brain and Behaviour",2.3-butanedione.olfactory.strength.attraction.f,157,Female,"Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.",Brown et al,Genome-wide association mapping of natural variation in odour-guided behaviour in Drosophila,2013,https://doi.org/10.1111/gbb.12048,04-Oct,6 per line and sex,NA,NA,25,NA
"Brown et al (2013) Genes, Brain and Behaviour",2.3-butanedione.olfactory.strength.attraction.m,157,Male,"Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.",Brown et al,Genome-wide association mapping of natural variation in odour-guided behaviour in Drosophila,2013,https://doi.org/10.1111/gbb.12048,04-Oct,6 per line and sex,NA,NA,25,NA
Campwell et al (2019) G3,anoxia.tolerance.adult.f,171,Female,"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.","Jacob B. Campbell, Paula F. Overby, Alyx E. Gray, Hunter C. Smith, Jon F. Harrison",Genome-Wide Association Analysis of Anoxia Tolerance in Drosophila melanogaster,2019,https://doi.org/10.1534/g3.119.400421,02-Apr,NA,Oct-20,cornmeal molasses,25,NA
Campwell et al (2019) G3,anoxia.tolerance.adult.m,171,Male,"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.","Jacob B. Campbell, Paula F. Overby, Alyx E. Gray, Hunter C. Smith, Jon F. Harrison",Genome-Wide Association Analysis of Anoxia Tolerance in Drosophila melanogaster,2019,https://doi.org/10.1534/g3.119.400421,02-Apr,NA,Oct-20,cornmeal molasses,25,NA
Campwell et al (2019) G3,anoxia.tolerance.larval,169,Pooled,"Mean survival (larvae that pupated) for late third instar larvae, 24 hours after exposure to one hour of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.","Jacob B. Campbell, Paula F. Overby, Alyx E. Gray, Hunter C. Smith, Jon F. Harrison",Genome-Wide Association Analysis of Anoxia Tolerance in Drosophila melanogaster,2019,https://doi.org/10.1534/g3.119.400421,02-Apr,NA,Oct-20,cornmeal molasses,25,NA
Carbone et al (2017) PNAS,phototaxis.dark.f,33,Female,"Mean phototaxis score measured in 7 day old adults, without a light source. This measure was taken to approximate the effect of fly activity on the phototaxis response. Higher values indicate more active flies.","Mary Anna Carbone, Akihiko Yamamoto, Wen Huang, Rachel A. Lyman, Tess Brune Meadors, Ryoan Yamamoto, Robert R. H. Anholt, Trudy F. C. Mackay",Genetic architecture of natural variation in visual senescence in Drosophila,2016,https://doi.org/10.1073/pnas.1613833113,NA,150,50,cornmeal molasses agar,25,NA
Carbone et al (2017) PNAS,phototaxis.dark.m,35,Male,"Mean phototaxis score measured in 7 day old adults, without a light source. This measure was taken to approximate the effect of fly activity on the phototaxis response. Higher values indicate more active flies.","Mary Anna Carbone, Akihiko Yamamoto, Wen Huang, Rachel A. Lyman, Tess Brune Meadors, Ryoan Yamamoto, Robert R. H. Anholt, Trudy F. C. Mackay",Genetic architecture of natural variation in visual senescence in Drosophila,2016,https://doi.org/10.1073/pnas.1613833113,NA,150,50,cornmeal molasses agar,25,NA
Carbone et al (2017) PNAS,phototaxis.mid.age.f,191,Female,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,"Mary Anna Carbone, Akihiko Yamamoto, Wen Huang, Rachel A. Lyman, Tess Brune Meadors, Ryoan Yamamoto, Robert R. H. Anholt, Trudy F. C. Mackay",Genetic architecture of natural variation in visual senescence in Drosophila,2016,https://doi.org/10.1073/pnas.1613833113,NA,150,50,cornmeal molasses agar,25,NA
Carbone et al (2017) PNAS,phototaxis.mid.age.m,191,Male,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,"Mary Anna Carbone, Akihiko Yamamoto, Wen Huang, Rachel A. Lyman, Tess Brune Meadors, Ryoan Yamamoto, Robert R. H. Anholt, Trudy F. C. Mackay",Genetic architecture of natural variation in visual senescence in Drosophila,2016,https://doi.org/10.1073/pnas.1613833113,NA,150,50,cornmeal molasses agar,25,NA
Carbone et al (2017) PNAS,phototaxis.old.f,185,Female,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,"Mary Anna Carbone, Akihiko Yamamoto, Wen Huang, Rachel A. Lyman, Tess Brune Meadors, Ryoan Yamamoto, Robert R. H. Anholt, Trudy F. C. Mackay",Genetic architecture of natural variation in visual senescence in Drosophila,2016,https://doi.org/10.1073/pnas.1613833113,NA,150,50,cornmeal molasses agar,25,NA
Carbone et al (2017) PNAS,phototaxis.old.m,185,Male,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,"Mary Anna Carbone, Akihiko Yamamoto, Wen Huang, Rachel A. Lyman, Tess Brune Meadors, Ryoan Yamamoto, Robert R. H. Anholt, Trudy F. C. Mackay",Genetic architecture of natural variation in visual senescence in Drosophila,2016,https://doi.org/10.1073/pnas.1613833113,NA,150,50,cornmeal molasses agar,25,NA
Carbone et al (2017) PNAS,phototaxis.young.f,191,Female,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,"Mary Anna Carbone, Akihiko Yamamoto, Wen Huang, Rachel A. Lyman, Tess Brune Meadors, Ryoan Yamamoto, Robert R. H. Anholt, Trudy F. C. Mackay",Genetic architecture of natural variation in visual senescence in Drosophila,2016,https://doi.org/10.1073/pnas.1613833113,NA,150,50,cornmeal molasses agar,25,NA
Carbone et al (2017) PNAS,phototaxis.young.m,191,Male,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,"Mary Anna Carbone, Akihiko Yamamoto, Wen Huang, Rachel A. Lyman, Tess Brune Meadors, Ryoan Yamamoto, Robert R. H. Anholt, Trudy F. C. Mackay",Genetic architecture of natural variation in visual senescence in Drosophila,2016,https://doi.org/10.1073/pnas.1613833113,NA,150,50,cornmeal molasses agar,25,NA
Chapman et al (2020) Genes,E.faecalis.resistance.m,199,Male,Mean proportion of adult flies that were alive 5 days after infection with the bacterial pathogen E. faecalis. Higher values indicate greater resistance to E. faecalis,Chapman et al,The Genetic Basis of Natural Variation in Drosophila melanogaster Immune Defense against Enterococcus faecalis,2020,https://doi.org/10.3390/genes11020234,NA,NA,NA,NA,NA,NA
Chohan (2012) PhD thesis,gustatory.response.ethanol.f,167,Female,"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chohan (2012) PhD thesis,gustatory.response.ethanol.m,167,Male,"Flies were given a choice between sucrose solution and sucrose solution supplemented with ethanol. Higher values indicate a preference for the ethanol supplemented sucrose, while lower values indicate an aversion towards the ethanol supplemented sucrose.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chohan (2012) PhD thesis,olfactory.response.ethanol.f,167,Female,"Flies were given a choice between a tube containing ethanol and a tube containing water. Higher values indicate an attraction to ethanol, while lower values indicate an aversion to ethanol.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chohan (2012) PhD thesis,olfactory.response.ethanol.m,167,Male,"Flies were given a choice between a tube containing ethanol and a tube containing water. Higher values indicate an attraction to ethanol, while lower values indicate an aversion to ethanol.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chow, Wolfner and Clark (2013) Genetics",remating.proportion.f,39,Female,"Mean proportion of females that remated with a second male (genotype bwD), ~ 1 day after first mating with a male (genotype cn bw).","Clement Y. Chow, Mariana F. Wolfner, Andrew G. Clark",Large Neurological Component to Genetic Differences Underlying Biased Sperm Use in Drosophila,2013,https://doi.org/10.1534/genetics.112.146357,04-Jul,30,20-30,"agar,dextrose,yeast",24,NA
"Chow, Wolfner and Clark (2013) Genetics",progeny.production.f,38,Female,Mean number of progeny produced in 5 vials over 10 days by twice-mated females.,"Clement Y. Chow, Mariana F. Wolfner, Andrew G. Clark",Large Neurological Component to Genetic Differences Underlying Biased Sperm Use in Drosophila,2013,https://doi.org/10.1534/genetics.112.146357,04-Jul,30,20-30,"agar,dextrose,yeast",24,NA
"Chow, Wolfner and Clark (2013) Genetics",progeny.sired.by.first.male.f,38,Female,"P1 is the proportion of progeny sired by the first male to mate with a twice-mated female. In this study, a DGRP female mated with two standard males. Hence, in this study, the variation in P1 is attributed to the female genotype. Higher values indicate a greater proportion of offspring sired by the male that mated first.","Clement Y. Chow, Mariana F. Wolfner, Andrew G. Clark",Large Neurological Component to Genetic Differences Underlying Biased Sperm Use in Drosophila,2013,https://doi.org/10.1534/genetics.112.146357,04-Jul,30,20-30,"agar,dextrose,yeast",24,NA
"Chow, Wolfner and Clark (2013) PNAS",tunicamycin.ER.stress.m,111,Male,"The hazard ratio of the death rate of male flies exposed to tunicamycin - an endoplasmic reticulum (ER) stress inducing drug – with the control group, fed drug free media. Higher values indicate greater ER stress and lower survival of flies exposed to tunicamycin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chow, Wolfner and Clark (2013) PNAS",tunicamycin.LT50.m,112,Male,Mean time required for 50% of male flies exposed to tunicamycin (TM) media to die. TM is an antibiotic that causes endoplasmic reticulum (ER) stress. Higher values indicate longer survival times and greater resistance to ER stress.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chowdhury et al Nature Communications Biology,aggression.2021.m,48,Male,"Mean number of aggressive lunges made in 20 min window following removal of a divider, by pairs of DGRP males of same genotype. Trials were run after males were kept isolated for five days. Higher values indicate more aggressive males.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dean et al (2020) Evolution,copulation.latency.m,33,Male,Mean time (mins) from a male flies introduction to a female until the onset of mating. Lower values indicate shorter copulation latencies and potentially more attractive males,"Rebecca Dean, Camille Hammer, Vanessa Higham, Damian K. Dowling",Masculinization of gene expression is associated with male quality in Drosophila melanogaster,2018,https://doi.org/10.1111/evo.13618,4,NA,NA,corneal molasses agar,25,NA
Dean et al (2020) Evolution,insemination.capacity.m,33,Male,Mean proportion of 10 females that a single male successfully inseminated in 48 hours. Insemination was verified by identification of viable pupal progeny. Higher values indicate males with a greater insemination capacity.,"Rebecca Dean, Camille Hammer, Vanessa Higham, Damian K. Dowling",Masculinization of gene expression is associated with male quality in Drosophila melanogaster,2018,https://doi.org/10.1111/evo.13618,4,NA,NA,corneal molasses agar,25,NA
Dembeck et al (2015) eLife,CHC.11 & 9-Me-C23.f,169,Female,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",L. Dembeck,Genetic architecture of natural variation in cuticular hydrocarbon composition in Drosophila melanogaster,2015,https://doi.org/10.7554/eLife.09861,4,NA,NA,cornmeal molasses,25,NA
